,work_zone,vehicle_type,vehicle_year,vehicle_color,race,gender,driver_state,speed_limit,speed,day_of_week,day_of_month,month,hour_of_day,speed_over,percentage_over_limit
500,FALSE,Light Duty Truck,2005,WHITE,WHITE,M,MD,35,52,Wed,13,Sep,18.88333333,17,48.57142857
501,FALSE,Automobile,2006,BLACK,BLACK,M,MD,35,44,Wed,13,Sep,19.48333333,9,25.71428571
502,FALSE,Automobile,2005,RED,WHITE,M,MD,35,54,Wed,13,Sep,15.78333333,19,54.28571429
503,FALSE,Automobile,2017,WHITE,WHITE,M,MD,45,64,Wed,13,Sep,22.75,19,42.22222222
504,FALSE,Automobile,2001,GREY,BLACK,M,MD,45,72,Wed,13,Sep,21.51666667,27,60
505,FALSE,Automobile,2011,WHITE,HISPANIC,M,MD,40,49,Thu,14,Sep,21.71666667,9,22.5
506,FALSE,Automobile,2012,GREY,WHITE,M,MD,45,66,Wed,13,Sep,23.8,21,46.66666667
507,FALSE,Motorcycle,2006,WHITE,ASIAN,M,MD,50,75,Wed,13,Sep,23.61666667,25,50
508,FALSE,Automobile,2005,GREY,HISPANIC,M,MD,35,52,Thu,14,Sep,0.55,17,48.57142857
509,FALSE,Automobile,2017,BLACK,BLACK,M,MD,40,49,Thu,14,Sep,20.3,9,22.5
510,FALSE,Station Wagon,2014,RED,WHITE,F,MD,25,34,Thu,14,Sep,6.716666667,9,36
511,FALSE,Automobile,1998,GREEN,OTHER,M,MD,35,44,Wed,13,Sep,23.9,9,25.71428571
512,FALSE,Automobile,2008,GREY,WHITE,M,MD,30,52,Thu,14,Sep,2.4,22,73.33333333
513,FALSE,Automobile,2001,WHITE,WHITE,M,MD,55,70,Thu,14,Sep,10.76666667,15,27.27272727
514,FALSE,Automobile,2015,WHITE,ASIAN,F,MD,50,69,Thu,14,Sep,8.916666667,19,38
515,FALSE,Automobile,2011,BLACK,OTHER,M,MD,55,74,Thu,14,Sep,9.416666667,19,34.54545455
516,FALSE,Automobile,1999,RED,BLACK,F,MD,55,74,Thu,14,Sep,9.55,19,34.54545455
517,FALSE,Automobile,2016,WHITE,WHITE,M,MD,30,49,Thu,14,Sep,7.716666667,19,63.33333333
518,FALSE,Station Wagon,2003,GREY,HISPANIC,M,MD,30,49,Thu,14,Sep,8.116666667,19,63.33333333
519,FALSE,Automobile,2013,BLACK,BLACK,M,MD,30,49,Thu,14,Sep,8.3,19,63.33333333
520,FALSE,Light Duty Truck,2006,BLACK,WHITE,M,MD,30,39,Thu,14,Sep,8.616666667,9,30
521,FALSE,Automobile,2010,BLACK,OTHER,M,MD,30,39,Thu,14,Sep,8.85,9,30
522,FALSE,Automobile,2004,GREY,BLACK,F,MD,30,39,Thu,14,Sep,9.6,9,30
523,FALSE,Automobile,1988,RED,OTHER,M,MD,45,54,Thu,14,Sep,10.78333333,9,20
524,FALSE,Station Wagon,2003,ORANGE,BLACK,M,MD,45,54,Thu,14,Sep,11.1,9,20
525,FALSE,Automobile,2013,BLUE,HISPANIC,M,MD,45,64,Thu,14,Sep,11.75,19,42.22222222
526,FALSE,Automobile,2009,RED,HISPANIC,F,MD,45,54,Thu,14,Sep,11.95,9,20
527,FALSE,Station Wagon,2007,GREY,WHITE,F,MD,45,64,Thu,14,Sep,12.06666667,19,42.22222222
528,FALSE,Light Duty Truck,2004,ORANGE,OTHER,M,MD,45,54,Thu,14,Sep,12.31666667,9,20
529,FALSE,Automobile,2013,BLACK,BLACK,M,MD,45,54,Thu,14,Sep,12.46666667,9,20
530,FALSE,Station Wagon,2013,GREY,ASIAN,F,NJ,45,54,Thu,14,Sep,12.8,9,20
531,FALSE,Automobile,2015,BLACK,WHITE,M,MD,40,66,Thu,14,Sep,9.033333333,26,65
532,FALSE,Automobile,2011,GREEN,BLACK,M,MD,40,63,Thu,14,Sep,9.35,23,57.5
533,FALSE,Light Duty Truck,2010,BLUE,WHITE,F,MD,30,52,Thu,14,Sep,15.53333333,22,73.33333333
534,FALSE,Light Duty Truck,2010,PURPLE,WHITE,F,MD,30,50,Thu,14,Sep,15.68333333,20,66.66666667
535,FALSE,Automobile,2014,BROWN,WHITE,M,MD,30,45,Thu,14,Sep,15.78333333,15,50
536,FALSE,Light Duty Truck,2013,WHITE,WHITE,F,MD,30,52,Thu,14,Sep,16.2,22,73.33333333
537,FALSE,Automobile,2002,ORANGE,WHITE,M,MD,30,50,Thu,14,Sep,16.21666667,20,66.66666667
538,FALSE,Automobile,2011,RED,BLACK,F,MD,30,50,Thu,14,Sep,16.38333333,20,66.66666667
