country,year,hourly_compensation
United Kingdom,1994,12.82999992
United States,1994,16.78000069
Australia,1995,15.35999966
Austria,1995,25.26000023
Belgium,1995,25.68000031
Canada,1995,16.5
Czech Rep.,1995,2.529999971
Denmark,1995,25.02000046
Finland,1995,22.60000038
France,1995,19.23999977
Germany,1995,30.10000038
Greece,1995,9.050000191
"Hong Kong, China",1995,4.800000191
Hungary,1995,2.690000057
Ireland,1995,14.14000034
Israel,1995,9.409999847
Italy,1995,16.53000069
Japan,1995,23.46999931
"Korea, Rep.",1995,7.289999962
Luxembourg,1995,23.45000076
Mexico,1995,1.700000048
Netherlands,1995,24.03000069
New Zealand,1995,10.35000038
Norway,1995,24.84000015
Philippines,1995,0.939999998
Portugal,1995,5.139999866
Singapore,1995,7.650000095
Spain,1995,12.69999981
Sri Lanka,1995,0.479999989
Sweden,1995,21.62000084
Switzerland,1995,28.88999939
Taiwan,1995,5.989999771
United Kingdom,1995,13.71000004
United States,1995,17.17000008
Australia,1996,17.02000046
Austria,1996,24.75
Belgium,1996,25.25
Brazil,1996,5.760000229
Canada,1996,17.04000092
Czech Rep.,1996,2.940000057
Denmark,1996,25.13999939
Finland,1996,22.20999908
France,1996,18.96999931
Germany,1996,29.57999992
Greece,1996,9.529999733
"Hong Kong, China",1996,5.119999886
Hungary,1996,2.710000038
Ireland,1996,14.48999977
Israel,1996,10.10999966
Italy,1996,18.06999969
Japan,1996,20.44000053
"Korea, Rep.",1996,8.210000038
Luxembourg,1996,22.45000076
Mexico,1996,1.629999995
Netherlands,1996,23.10000038
New Zealand,1996,11.31000042
Norway,1996,25.45999908
Philippines,1996,1.00999999
Portugal,1996,5.329999924
Singapore,1996,8.25
Spain,1996,13.32999992
Sri Lanka,1996,0.479999989
Sweden,1996,24.29000092
Switzerland,1996,27.94000053
Taiwan,1996,5.980000019
United Kingdom,1996,14.11999989
United States,1996,17.73999977
Australia,1997,16.70999908
Austria,1997,21.85000038
Belgium,1997,22.28000069
Brazil,1997,5.769999981
Canada,1997,16.82999992
Czech Rep.,1997,2.789999962
Denmark,1997,23.14999962
Finland,1997,20.01000023
France,1997,17.06999969
Germany,1997,25.95999908
Greece,1997,9.149999619
"Hong Kong, China",1997,5.380000114
Hungary,1997,2.680000067
Ireland,1997,14.25
Israel,1997,10.80000019
Italy,1997,16.95000076
Japan,1997,18.97999954
"Korea, Rep.",1997,7.860000134
Luxembourg,1997,19.65999985
Mexico,1997,1.730000019
Netherlands,1997,20.72999954
New Zealand,1997,11.31999969
Norway,1997,24.12000084
Philippines,1997,0.959999979
Poland,1997,2.789999962
Portugal,1997,5.130000114
Singapore,1997,8.100000381
Spain,1997,12.07999992
Sri Lanka,1997,0.460000008
Sweden,1997,22.37000084
Switzerland,1997,23.85000038
Taiwan,1997,6.090000153
United Kingdom,1997,15.68999958
United States,1997,18.20000076
Australia,1998,15.10999966
Austria,1998,22.02000046
Belgium,1998,22.62000084
Brazil,1998,5.489999771
Canada,1998,15.93000031
Czech Rep.,1998,2.99000001
Denmark,1998,23.68000031
Finland,1998,19.39999962
France,1998,17.28000069
Germany,1998,25.17000008
Greece,1998,8.880000114
"Hong Kong, China",1998,5.400000095
Hungary,1998,2.720000029
Ireland,1998,14.18000031
Israel,1998,10.85999966
Italy,1998,16.72999954
Japan,1998,17.62000084
"Korea, Rep.",1998,5.670000076
Luxembourg,1998,19.59000015
Mexico,1998,1.649999976
Netherlands,1998,21.29000092
New Zealand,1998,9.380000114
Norway,1998,24.43000031
Philippines,1998,0.720000029
Poland,1998,3
Portugal,1998,5.199999809
Singapore,1998,7.429999828
Spain,1998,11.94999981
Sri Lanka,1998,0.469999999
Sweden,1998,22.39999962
Switzerland,1998,24.04000092
Taiwan,1998,5.389999866
United Kingdom,1998,16.97999954
United States,1998,18.52000046
Australia,1999,15.93999958
Austria,1999,21.62999916
Belgium,1999,22.13999939
Brazil,1999,3.390000105
Canada,1999,16.10000038
Czech Rep.,1999,3.119999886
Denmark,1999,24.02000046
Finland,1999,19.65999985
France,1999,16.97999954
Germany,1999,24.56999969
Greece,1999,8.600000381
"Hong Kong, China",1999,5.369999886
Hungary,1999,2.75999999
Ireland,1999,14.32999992
Israel,1999,10.56999969
Italy,1999,16.31999969
Japan,1999,20.44000053
"Korea, Rep.",1999,7.360000134
Luxembourg,1999,19.5
Mexico,1999,1.809999943
Netherlands,1999,21.36000061
New Zealand,1999,9.449999809
Norway,1999,24.72999954
Philippines,1999,0.800000012
Poland,1999,2.890000105
Portugal,1999,5.059999943
Singapore,1999,7.019999981
Spain,1999,11.92000008
Sri Lanka,1999,0.460000008
Sweden,1999,22.06999969
Switzerland,1999,23.22999954
Taiwan,1999,5.78000021
United Kingdom,1999,17.34000015
United States,1999,18.89999962
Australia,2000,14.40999985
Austria,2000,19.12000084
Belgium,2000,20.12999916
Brazil,2000,3.5
Canada,2000,16.47999954
Czech Rep.,2000,3.00999999
Denmark,2000,21.43000031
Finland,2000,17.84000015
France,2000,15.43000031
Germany,2000,22.67000008
Greece,2000,7.670000076
"Hong Kong, China",2000,5.449999809
Hungary,2000,2.74000001
Ireland,2000,13.27999973
Israel,2000,11.40999985
Italy,2000,14.47000027
